CementMix,BlastFurnaceSlag,FlyAsh,WaterMix,Superplasticizer,CoarseAggregate,FineAggregate,Age_day,Strength
198.6,132.4,0,192,0,978.4,825.5,3,0
304,76,0,228,0,932,670,180,0
332.5,142.5,0,228,0,932,594,28,0
304,76,0,228,0,932,670,270,0
266,114,0,228,0,932,670,270,0
310,0,0,192,0,971,850.6,3,0
190,190,0,228,0,932,670,270,0
266,114,0,228,0,932,670,180,0
342,38,0,228,0,932,670,270,1
139.6,209.4,0,192,0,1047,806.9,360,0
332.5,142.5,0,228,0,932,594,7,0
190,190,0,228,0,932,670,28,0
485,0,0,146,0,1120,800,28,1
374,189.2,0,170.1,10.1,926.1,756.7,3,0
313.3,262.2,0,175.5,8.6,1046.9,611.8,3,0
425,106.3,0,153.5,16.5,852.1,887.1,3,0
425,106.3,0,151.4,18.6,936,803.7,3,0
375,93.8,0,126.6,23.4,852.1,992.6,3,0
475,118.8,0,181.1,8.9,852.1,781.5,3,0
469,117.2,0,137.8,32.2,852.1,840.5,3,0
425,106.3,0,153.5,16.5,852.1,887.1,3,0
388.6,97.1,0,157.9,12.1,852.1,925.7,3,0
531.3,0,0,141.8,28.2,852.1,893.7,3,0
425,106.3,0,153.5,16.5,852.1,887.1,3,0
318.8,212.5,0,155.7,14.3,852.1,880.4,3,0
401.8,94.7,0,147.4,11.4,946.8,852.1,3,0
362.6,189,0,164.9,11.6,944.7,755.8,3,0
323.7,282.8,0,183.8,10.3,942.7,659.9,3,0
379.5,151.2,0,153.9,15.9,1134.3,605,3,0
362.6,189,0,164.9,11.6,944.7,755.8,3,0
286.3,200.9,0,144.7,11.2,1004.6,803.7,3,0
362.6,189,0,164.9,11.6,944.7,755.8,3,0
439,177,0,186,11.1,884.9,707.9,3,0
389.9,189,0,145.9,22,944.7,755.8,3,0
362.6,189,0,164.9,11.6,944.7,755.8,3,0
337.9,189,0,174.9,9.5,944.7,755.8,3,0
374,189.2,0,170.1,10.1,926.1,756.7,7,0
313.3,262.2,0,175.5,8.6,1046.9,611.8,7,0
425,106.3,0,153.5,16.5,852.1,887.1,7,0
425,106.3,0,151.4,18.6,936,803.7,7,0
375,93.8,0,126.6,23.4,852.1,992.6,7,0
475,118.8,0,181.1,8.9,852.1,781.5,7,1
469,117.2,0,137.8,32.2,852.1,840.5,7,0
425,106.3,0,153.5,16.5,852.1,887.1,7,0
388.6,97.1,0,157.9,12.1,852.1,925.7,7,0
531.3,0,0,141.8,28.2,852.1,893.7,7,0
425,106.3,0,153.5,16.5,852.1,887.1,7,0
318.8,212.5,0,155.7,14.3,852.1,880.4,7,0
401.8,94.7,0,147.4,11.4,946.8,852.1,7,0
362.6,189,0,164.9,11.6,944.7,755.8,7,1
323.7,282.8,0,183.8,10.3,942.7,659.9,7,0
379.5,151.2,0,153.9,15.9,1134.3,605,7,0
362.6,189,0,164.9,11.6,944.7,755.8,7,1
286.3,200.9,0,144.7,11.2,1004.6,803.7,7,0
362.6,189,0,164.9,11.6,944.7,755.8,7,1
439,177,0,186,11.1,884.9,707.9,7,1
389.9,189,0,145.9,22,944.7,755.8,7,1
362.6,189,0,164.9,11.6,944.7,755.8,7,0
337.9,189,0,174.9,9.5,944.7,755.8,7,0
374,189.2,0,170.1,10.1,926.1,756.7,28,1
313.3,262.2,0,175.5,8.6,1046.9,611.8,28,1
425,106.3,0,153.5,16.5,852.1,887.1,28,1
425,106.3,0,151.4,18.6,936,803.7,28,1
375,93.8,0,126.6,23.4,852.1,992.6,28,1
475,118.8,0,181.1,8.9,852.1,781.5,28,1
469,117.2,0,137.8,32.2,852.1,840.5,28,1
425,106.3,0,153.5,16.5,852.1,887.1,28,1
388.6,97.1,0,157.9,12.1,852.1,925.7,28,0
531.3,0,0,141.8,28.2,852.1,893.7,28,1
425,106.3,0,153.5,16.5,852.1,887.1,28,1
318.8,212.5,0,155.7,14.3,852.1,880.4,28,1
401.8,94.7,0,147.4,11.4,946.8,852.1,28,1
362.6,189,0,164.9,11.6,944.7,755.8,28,1
323.7,282.8,0,183.8,10.3,942.7,659.9,28,1
379.5,151.2,0,153.9,15.9,1134.3,605,28,0
362.6,189,0,164.9,11.6,944.7,755.8,28,1
286.3,200.9,0,144.7,11.2,1004.6,803.7,28,1
362.6,189,0,164.9,11.6,944.7,755.8,28,1
439,177,0,186,11.1,884.9,707.9,28,1
389.9,189,0,145.9,22,944.7,755.8,28,1
362.6,189,0,164.9,11.6,944.7,755.8,28,1
337.9,189,0,174.9,9.5,944.7,755.8,28,0
374,189.2,0,170.1,10.1,926.1,756.7,56,1
313.3,262.2,0,175.5,8.6,1046.9,611.8,56,1
425,106.3,0,153.5,16.5,852.1,887.1,56,1
425,106.3,0,151.4,18.6,936,803.7,56,1
375,93.8,0,126.6,23.4,852.1,992.6,56,1
475,118.8,0,181.1,8.9,852.1,781.5,56,1
469,117.2,0,137.8,32.2,852.1,840.5,56,1
425,106.3,0,153.5,16.5,852.1,887.1,56,1
388.6,97.1,0,157.9,12.1,852.1,925.7,56,1
531.3,0,0,141.8,28.2,852.1,893.7,56,1
425,106.3,0,153.5,16.5,852.1,887.1,56,1
318.8,212.5,0,155.7,14.3,852.1,880.4,56,1
401.8,94.7,0,147.4,11.4,946.8,852.1,56,1
362.6,189,0,164.9,11.6,944.7,755.8,56,1
323.7,282.8,0,183.8,10.3,942.7,659.9,56,1
379.5,151.2,0,153.9,15.9,1134.3,605,56,0
362.6,189,0,164.9,11.6,944.7,755.8,56,1
286.3,200.9,0,144.7,11.2,1004.6,803.7,56,1
362.6,189,0,164.9,11.6,944.7,755.8,56,1
439,177,0,186,11.1,884.9,707.9,56,1
389.9,189,0,145.9,22,944.7,755.8,56,1
362.6,189,0,164.9,11.6,944.7,755.8,56,1
337.9,189,0,174.9,9.5,944.7,755.8,56,1
374,189.2,0,170.1,10.1,926.1,756.7,91,1
313.3,262.2,0,175.5,8.6,1046.9,611.8,91,1
425,106.3,0,153.5,16.5,852.1,887.1,91,1
425,106.3,0,151.4,18.6,936,803.7,91,1
375,93.8,0,126.6,23.4,852.1,992.6,91,1
475,118.8,0,181.1,8.9,852.1,781.5,91,1
469,117.2,0,137.8,32.2,852.1,840.5,91,1
425,106.3,0,153.5,16.5,852.1,887.1,91,1
388.6,97.1,0,157.9,12.1,852.1,925.7,91,1
531.3,0,0,141.8,28.2,852.1,893.7,91,1
425,106.3,0,153.5,16.5,852.1,887.1,91,1
318.8,212.5,0,155.7,14.3,852.1,880.4,91,1
401.8,94.7,0,147.4,11.4,946.8,852.1,91,1
362.6,189,0,164.9,11.6,944.7,755.8,91,1
379.5,151.2,0,153.9,15.9,1134.3,605,91,1
362.6,189,0,164.9,11.6,944.7,755.8,91,1
286.3,200.9,0,144.7,11.2,1004.6,803.7,91,1
362.6,189,0,164.9,11.6,944.7,755.8,91,1
439,177,0,186,11.1,884.9,707.9,91,1
389.9,189,0,145.9,22,944.7,755.8,91,1
362.6,189,0,164.9,11.6,944.7,755.8,91,1
337.9,189,0,174.9,9.5,944.7,755.8,91,1
222.4,0,96.7,189.3,4.5,967.1,870.3,3,0
222.4,0,96.7,189.3,4.5,967.1,870.3,14,0
222.4,0,96.7,189.3,4.5,967.1,870.3,28,0
222.4,0,96.7,189.3,4.5,967.1,870.3,56,0
222.4,0,96.7,189.3,4.5,967.1,870.3,100,0
233.8,0,94.6,197.9,4.6,947,852.2,3,0
233.8,0,94.6,197.9,4.6,947,852.2,14,0
233.8,0,94.6,197.9,4.6,947,852.2,28,0
233.8,0,94.6,197.9,4.6,947,852.2,56,0
233.8,0,94.6,197.9,4.6,947,852.2,100,0
194.7,0,100.5,165.6,7.5,1006.4,905.9,3,0
194.7,0,100.5,165.6,7.5,1006.4,905.9,14,0
194.7,0,100.5,165.6,7.5,1006.4,905.9,28,0
194.7,0,100.5,165.6,7.5,1006.4,905.9,56,0
194.7,0,100.5,165.6,7.5,1006.4,905.9,100,0
190.7,0,125.4,162.1,7.8,1090,804,3,0
190.7,0,125.4,162.1,7.8,1090,804,14,0
190.7,0,125.4,162.1,7.8,1090,804,28,0
190.7,0,125.4,162.1,7.8,1090,804,56,0
190.7,0,125.4,162.1,7.8,1090,804,100,0
212.1,0,121.6,180.3,5.7,1057.6,779.3,3,0
212.1,0,121.6,180.3,5.7,1057.6,779.3,14,0
212.1,0,121.6,180.3,5.7,1057.6,779.3,28,0
212.1,0,121.6,180.3,5.7,1057.6,779.3,56,0
212.1,0,121.6,180.3,5.7,1057.6,779.3,100,0
230,0,118.3,195.5,4.6,1029.4,758.6,3,0
230,0,118.3,195.5,4.6,1029.4,758.6,14,0
230,0,118.3,195.5,4.6,1029.4,758.6,28,0
230,0,118.3,195.5,4.6,1029.4,758.6,56,0
230,0,118.3,195.5,4.6,1029.4,758.6,100,0
190.3,0,125.2,161.9,9.9,1088.1,802.6,3,0
190.3,0,125.2,161.9,9.9,1088.1,802.6,14,0
190.3,0,125.2,161.9,9.9,1088.1,802.6,28,0
190.3,0,125.2,161.9,9.9,1088.1,802.6,56,0
190.3,0,125.2,161.9,9.9,1088.1,802.6,100,0
166.1,0,163.3,176.5,4.5,1058.6,780.1,3,0
166.1,0,163.3,176.5,4.5,1058.6,780.1,14,0
166.1,0,163.3,176.5,4.5,1058.6,780.1,28,0
166.1,0,163.3,176.5,4.5,1058.6,780.1,56,0
166.1,0,163.3,176.5,4.5,1058.6,780.1,100,0
168,42.1,163.8,121.8,5.7,1058.7,780.1,3,0
168,42.1,163.8,121.8,5.7,1058.7,780.1,14,0
168,42.1,163.8,121.8,5.7,1058.7,780.1,28,0
168,42.1,163.8,121.8,5.7,1058.7,780.1,56,0
168,42.1,163.8,121.8,5.7,1058.7,780.1,100,0
213.7,98.1,24.5,181.7,6.9,1065.8,785.4,3,0
213.7,98.1,24.5,181.7,6.9,1065.8,785.4,14,0
213.7,98.1,24.5,181.7,6.9,1065.8,785.4,28,0
213.7,98.1,24.5,181.7,6.9,1065.8,785.4,56,0
213.7,98.1,24.5,181.7,6.9,1065.8,785.4,100,0
213.8,98.1,24.5,181.7,6.7,1066,785.5,3,0
213.8,98.1,24.5,181.7,6.7,1066,785.5,14,0
213.8,98.1,24.5,181.7,6.7,1066,785.5,28,0
213.8,98.1,24.5,181.7,6.7,1066,785.5,56,0
213.8,98.1,24.5,181.7,6.7,1066,785.5,100,0
229.7,0,118.2,195.2,6.1,1028.1,757.6,3,0
229.7,0,118.2,195.2,6.1,1028.1,757.6,14,0
229.7,0,118.2,195.2,6.1,1028.1,757.6,28,0
229.7,0,118.2,195.2,6.1,1028.1,757.6,56,0
229.7,0,118.2,195.2,6.1,1028.1,757.6,100,0
238.1,0,94.1,186.7,7,949.9,847,3,0
238.1,0,94.1,186.7,7,949.9,847,14,0
238.1,0,94.1,186.7,7,949.9,847,28,0
238.1,0,94.1,186.7,7,949.9,847,56,0
238.1,0,94.1,186.7,7,949.9,847,100,0
250,0,95.7,187.4,5.5,956.9,861.2,3,0
250,0,95.7,187.4,5.5,956.9,861.2,14,0
250,0,95.7,187.4,5.5,956.9,861.2,28,0
250,0,95.7,187.4,5.5,956.9,861.2,56,0
250,0,95.7,187.4,5.5,956.9,861.2,100,0
212.5,0,100.4,159.3,8.7,1007.8,903.6,3,0
212.5,0,100.4,159.3,8.7,1007.8,903.6,14,0
212.5,0,100.4,159.3,8.7,1007.8,903.6,28,0
212.5,0,100.4,159.3,8.7,1007.8,903.6,56,0
212.5,0,100.4,159.3,8.7,1007.8,903.6,100,0
212.6,0,100.4,159.4,10.4,1003.8,903.8,3,0
212.6,0,100.4,159.4,10.4,1003.8,903.8,14,0
212.6,0,100.4,159.4,10.4,1003.8,903.8,28,0
212.6,0,100.4,159.4,10.4,1003.8,903.8,56,0
212.6,0,100.4,159.4,10.4,1003.8,903.8,100,0
212,0,124.8,159,7.8,1085.4,799.5,3,0
212,0,124.8,159,7.8,1085.4,799.5,14,0
212,0,124.8,159,7.8,1085.4,799.5,28,0
212,0,124.8,159,7.8,1085.4,799.5,56,0
212,0,124.8,159,7.8,1085.4,799.5,100,0
231.8,0,121.6,174,6.7,1056.4,778.5,3,0
231.8,0,121.6,174,6.7,1056.4,778.5,14,0
231.8,0,121.6,174,6.7,1056.4,778.5,28,0
231.8,0,121.6,174,6.7,1056.4,778.5,56,0
231.8,0,121.6,174,6.7,1056.4,778.5,100,0
251.4,0,118.3,188.5,5.8,1028.4,757.7,3,0
251.4,0,118.3,188.5,5.8,1028.4,757.7,14,0
251.4,0,118.3,188.5,5.8,1028.4,757.7,28,0
251.4,0,118.3,188.5,5.8,1028.4,757.7,56,0
251.4,0,118.3,188.5,5.8,1028.4,757.7,100,0
251.4,0,118.3,188.5,6.4,1028.4,757.7,3,0
251.4,0,118.3,188.5,6.4,1028.4,757.7,14,0
251.4,0,118.3,188.5,6.4,1028.4,757.7,28,0
251.4,0,118.3,188.5,6.4,1028.4,757.7,56,0
251.4,0,118.3,188.5,6.4,1028.4,757.7,100,0
181.4,0,167,169.6,7.6,1055.6,777.8,3,0
181.4,0,167,169.6,7.6,1055.6,777.8,14,0
181.4,0,167,169.6,7.6,1055.6,777.8,28,0
181.4,0,167,169.6,7.6,1055.6,777.8,56,0
181.4,0,167,169.6,7.6,1055.6,777.8,100,0
182,45.2,122,170.2,8.2,1059.4,780.7,3,0
182,45.2,122,170.2,8.2,1059.4,780.7,14,0
182,45.2,122,170.2,8.2,1059.4,780.7,28,0
182,45.2,122,170.2,8.2,1059.4,780.7,56,0
182,45.2,122,170.2,8.2,1059.4,780.7,100,0
168.9,42.2,124.3,158.3,10.8,1080.8,796.2,3,0
168.9,42.2,124.3,158.3,10.8,1080.8,796.2,14,0
168.9,42.2,124.3,158.3,10.8,1080.8,796.2,28,0
168.9,42.2,124.3,158.3,10.8,1080.8,796.2,56,0
168.9,42.2,124.3,158.3,10.8,1080.8,796.2,100,0
290.4,0,96.2,168.1,9.4,961.2,865,3,0
290.4,0,96.2,168.1,9.4,961.2,865,14,0
290.4,0,96.2,168.1,9.4,961.2,865,28,0
290.4,0,96.2,168.1,9.4,961.2,865,56,0
290.4,0,96.2,168.1,9.4,961.2,865,100,0
277.1,0,97.4,160.6,11.8,973.9,875.6,3,0
277.1,0,97.4,160.6,11.8,973.9,875.6,14,0
277.1,0,97.4,160.6,11.8,973.9,875.6,28,0
277.1,0,97.4,160.6,11.8,973.9,875.6,56,0
277.1,0,97.4,160.6,11.8,973.9,875.6,100,1
295.7,0,95.6,171.5,8.9,955.1,859.2,3,0
295.7,0,95.6,171.5,8.9,955.1,859.2,14,0
295.7,0,95.6,171.5,8.9,955.1,859.2,28,0
295.7,0,95.6,171.5,8.9,955.1,859.2,56,0
295.7,0,95.6,171.5,8.9,955.1,859.2,100,0
251.8,0,99.9,146.1,12.4,1006,899.8,3,0
251.8,0,99.9,146.1,12.4,1006,899.8,14,0
251.8,0,99.9,146.1,12.4,1006,899.8,28,0
251.8,0,99.9,146.1,12.4,1006,899.8,56,0
251.8,0,99.9,146.1,12.4,1006,899.8,100,0
249.1,0,98.8,158.1,12.8,987.8,889,3,0
249.1,0,98.8,158.1,12.8,987.8,889,14,0
249.1,0,98.8,158.1,12.8,987.8,889,28,0
249.1,0,98.8,158.1,12.8,987.8,889,56,0
249.1,0,98.8,158.1,12.8,987.8,889,100,0
252.3,0,98.8,146.3,14.2,987.8,889,3,0
252.3,0,98.8,146.3,14.2,987.8,889,14,0
252.3,0,98.8,146.3,14.2,987.8,889,28,0
252.3,0,98.8,146.3,14.2,987.8,889,56,1
252.3,0,98.8,146.3,14.2,987.8,889,100,1
246.8,0,125.1,143.3,12,1086.8,800.9,3,0
246.8,0,125.1,143.3,12,1086.8,800.9,14,0
246.8,0,125.1,143.3,12,1086.8,800.9,28,0
246.8,0,125.1,143.3,12,1086.8,800.9,56,1
246.8,0,125.1,143.3,12,1086.8,800.9,100,1
275.1,0,121.4,159.5,9.9,1053.6,777.5,3,0
275.1,0,121.4,159.5,9.9,1053.6,777.5,14,0
275.1,0,121.4,159.5,9.9,1053.6,777.5,28,0
275.1,0,121.4,159.5,9.9,1053.6,777.5,56,1
275.1,0,121.4,159.5,9.9,1053.6,777.5,100,1
297.2,0,117.5,174.8,9.5,1022.8,753.5,3,0
297.2,0,117.5,174.8,9.5,1022.8,753.5,14,0
297.2,0,117.5,174.8,9.5,1022.8,753.5,28,0
297.2,0,117.5,174.8,9.5,1022.8,753.5,56,0
297.2,0,117.5,174.8,9.5,1022.8,753.5,100,1
213.7,0,174.7,154.8,10.2,1053.5,776.4,3,0
213.7,0,174.7,154.8,10.2,1053.5,776.4,14,0
213.7,0,174.7,154.8,10.2,1053.5,776.4,28,0
213.7,0,174.7,154.8,10.2,1053.5,776.4,56,0
213.7,0,174.7,154.8,10.2,1053.5,776.4,100,0
213.5,0,174.2,154.6,11.7,1052.3,775.5,3,0
213.5,0,174.2,154.6,11.7,1052.3,775.5,14,0
213.5,0,174.2,154.6,11.7,1052.3,775.5,28,0
213.5,0,174.2,154.6,11.7,1052.3,775.5,56,0
213.5,0,174.2,154.6,11.7,1052.3,775.5,100,1
277.2,97.8,24.5,160.7,11.2,1061.7,782.5,3,0
277.2,97.8,24.5,160.7,11.2,1061.7,782.5,14,0
277.2,97.8,24.5,160.7,11.2,1061.7,782.5,28,1
277.2,97.8,24.5,160.7,11.2,1061.7,782.5,56,1
277.2,97.8,24.5,160.7,11.2,1061.7,782.5,100,1
218.2,54.6,123.8,140.8,11.9,1075.7,792.7,3,0
218.2,54.6,123.8,140.8,11.9,1075.7,792.7,14,0
218.2,54.6,123.8,140.8,11.9,1075.7,792.7,28,1
218.2,54.6,123.8,140.8,11.9,1075.7,792.7,56,1
218.2,54.6,123.8,140.8,11.9,1075.7,792.7,100,1
214.9,53.8,121.9,155.6,9.6,1014.3,780.6,3,0
214.9,53.8,121.9,155.6,9.6,1014.3,780.6,14,0
214.9,53.8,121.9,155.6,9.6,1014.3,780.6,28,0
214.9,53.8,121.9,155.6,9.6,1014.3,780.6,56,0
214.9,53.8,121.9,155.6,9.6,1014.3,780.6,100,1
218.9,0,124.1,158.5,11.3,1078.7,794.9,3,0
218.9,0,124.1,158.5,11.3,1078.7,794.9,14,0
218.9,0,124.1,158.5,11.3,1078.7,794.9,28,0
218.9,0,124.1,158.5,11.3,1078.7,794.9,56,0
218.9,0,124.1,158.5,11.3,1078.7,794.9,100,0
376,0,0,214.6,0,1003.5,762.4,3,0
376,0,0,214.6,0,1003.5,762.4,14,0
376,0,0,214.6,0,1003.5,762.4,28,0
376,0,0,214.6,0,1003.5,762.4,56,0
376,0,0,214.6,0,1003.5,762.4,100,0
500,0,0,140,4,966,853,28,1
475,0,59,142,1.9,1098,641,28,1
315,137,0,145,5.9,1130,745,28,1
505,0,60,195,0,1030,630,28,1
451,0,0,165,11.3,1030,745,28,1
516,0,0,162,8.2,801,802,28,0
520,0,0,170,5.2,855,855,28,1
528,0,0,185,6.9,920,720,28,1
520,0,0,175,5.2,870,805,28,0
385,0,136,158,20,903,768,28,1
500.1,0,0,200,3,1124.4,613.2,28,0
450.1,50,0,200,3,1124.4,613.2,28,0
397,17.2,158,167,20.8,967,633,28,1
333,17.5,163,167,17.9,996,652,28,0
334,17.6,158,189,15.3,967,633,28,0
405,0,0,175,0,1120,695,28,0
200,200,0,190,0,1145,660,28,0
516,0,0,162,8.3,801,802,28,0
145,116,119,184,5.7,833,880,28,0
160,128,122,182,6.4,824,879,28,0
234,156,0,189,5.9,981,760,28,0
250,180,95,159,9.5,860,800,28,1
475,0,0,162,9.5,1044,662,28,1
285,190,0,163,7.6,1031,685,28,0
356,119,0,160,9,1061,657,28,1
275,180,120,162,10.4,830,765,28,1
500,0,0,151,9,1033,655,28,1
165,0,143.6,163.8,0,1005.6,900.9,3,0
165,128.5,132.1,175.1,8.1,1005.8,746.6,3,0
178,129.8,118.6,179.9,3.6,1007.3,746.8,3,0
167.4,129.9,128.6,175.5,7.8,1006.3,746.6,3,0
172.4,13.6,172.4,156.8,4.1,1006.3,856.4,3,0
173.5,50.1,173.5,164.8,6.5,1006.2,793.5,3,0
167,75.4,167,164,7.9,1007.3,770.1,3,0
173.8,93.4,159.9,172.3,9.7,1007.2,746.6,3,0
190.3,0,125.2,166.6,9.9,1079,798.9,3,0
250,0,95.7,191.8,5.3,948.9,857.2,3,0
213.5,0,174.2,159.2,11.7,1043.6,771.9,3,0
194.7,0,100.5,170.2,7.5,998,901.8,3,0
251.4,0,118.3,192.9,5.8,1043.6,754.3,3,0
165,0,143.6,163.8,0,1005.6,900.9,14,0
165,128.5,132.1,175.1,8.1,1005.8,746.6,14,0
178,129.8,118.6,179.9,3.6,1007.3,746.8,14,0
167.4,129.9,128.6,175.5,7.8,1006.3,746.6,14,0
172.4,13.6,172.4,156.8,4.1,1006.3,856.4,14,0
173.5,50.1,173.5,164.8,6.5,1006.2,793.5,14,0
167,75.4,167,164,7.9,1007.3,770.1,14,0
173.8,93.4,159.9,172.3,9.7,1007.2,746.6,14,0
190.3,0,125.2,166.6,9.9,1079,798.9,14,0
250,0,95.7,191.8,5.3,948.9,857.2,14,0
213.5,0,174.2,159.2,11.7,1043.6,771.9,14,0
194.7,0,100.5,170.2,7.5,998,901.8,14,0
251.4,0,118.3,192.9,5.8,1043.6,754.3,14,0
165,0,143.6,163.8,0,1005.6,900.9,28,0
165,128.5,132.1,175.1,8.1,1005.8,746.6,28,0
178,129.8,118.6,179.9,3.6,1007.3,746.8,28,0
167.4,129.9,128.6,175.5,7.8,1006.3,746.6,28,0
172.4,13.6,172.4,156.8,4.1,1006.3,856.4,28,0
173.5,50.1,173.5,164.8,6.5,1006.2,793.5,28,0
167,75.4,167,164,7.9,1007.3,770.1,28,0
173.8,93.4,159.9,172.3,9.7,1007.2,746.6,28,0
190.3,0,125.2,166.6,9.9,1079,798.9,28,0
250,0,95.7,191.8,5.3,948.9,857.2,28,0
213.5,0,174.2,159.2,11.7,1043.6,771.9,28,0
194.7,0,100.5,170.2,7.5,998,901.8,28,0
251.4,0,118.3,192.9,5.8,1043.6,754.3,28,0
165,0,143.6,163.8,0,1005.6,900.9,56,0
165,128.5,132.1,175.1,8.1,1005.8,746.6,56,0
178,129.8,118.6,179.9,3.6,1007.3,746.8,56,0
167.4,129.9,128.6,175.5,7.8,1006.3,746.6,56,0
172.4,13.6,172.4,156.8,4.1,1006.3,856.4,56,0
173.5,50.1,173.5,164.8,6.5,1006.2,793.5,56,0
167,75.4,167,164,7.9,1007.3,770.1,56,0
173.8,93.4,159.9,172.3,9.7,1007.2,746.6,56,0
190.3,0,125.2,166.6,9.9,1079,798.9,56,0
250,0,95.7,191.8,5.3,948.9,857.2,56,0
213.5,0,174.2,159.2,11.7,1043.6,771.9,56,0
194.7,0,100.5,170.2,7.5,998,901.8,56,0
251.4,0,118.3,192.9,5.8,1043.6,754.3,56,0
165,0,143.6,163.8,0,1005.6,900.9,100,0
165,128.5,132.1,175.1,8.1,1005.8,746.6,100,1
178,129.8,118.6,179.9,3.6,1007.3,746.8,100,0
167.4,129.9,128.6,175.5,7.8,1006.3,746.6,100,0
172.4,13.6,172.4,156.8,4.1,1006.3,856.4,100,0
173.5,50.1,173.5,164.8,6.5,1006.2,793.5,100,1
167,75.4,167,164,7.9,1007.3,770.1,100,1
173.8,93.4,159.9,172.3,9.7,1007.2,746.6,100,0
190.3,0,125.2,166.6,9.9,1079,798.9,100,0
250,0,95.7,191.8,5.3,948.9,857.2,100,0
213.5,0,174.2,159.2,11.7,1043.6,771.9,100,0
194.7,0,100.5,170.2,7.5,998,901.8,100,0
251.4,0,118.3,192.9,5.8,1043.6,754.3,100,0
446,24,79,162,11.6,967,712,28,1
446,24,79,162,11.6,967,712,28,0
446,24,79,162,11.6,967,712,28,0
446,24,79,162,10.3,967,712,28,0
446,24,79,162,11.6,967,712,3,0
446,24,79,162,11.6,967,712,3,0
446,24,79,162,11.6,967,712,3,0
446,24,79,162,11.6,967,712,7,0
446,24,79,162,11.6,967,712,7,0
446,24,79,162,11.6,967,712,7,0
446,24,79,162,11.6,967,712,56,1
446,24,79,162,11.6,967,712,56,1
446,24,79,162,11.6,967,712,56,1
446,24,79,162,10.3,967,712,56,0
387,20,94,157,14.3,938,845,28,0
387,20,94,157,13.9,938,845,28,0
387,20,94,157,11.6,938,845,28,0
387,20,94,157,14.3,938,845,3,0
387,20,94,157,13.9,938,845,3,0
387,20,94,157,11.6,938,845,3,0
387,20,94,157,14.3,938,845,7,0
387,20,94,157,13.9,938,845,7,0
387,20,94,157,11.6,938,845,7,0
387,20,94,157,14.3,938,845,56,1
387,20,94,157,13.9,938,845,56,0
387,20,94,157,11.6,938,845,56,1
355,19,97,145,13.1,967,871,28,0
355,19,97,145,12.3,967,871,28,1
491,26,123,210,3.9,882,699,28,1
491,26,123,201,3.9,822,699,28,1
491,26,123,210,3.9,882,699,3,0
491,26,123,210,3.9,882,699,7,0
491,26,123,210,3.9,882,699,56,1
491,26,123,201,3.9,822,699,3,0
491,26,123,201,3.9,822,699,7,0
491,26,123,201,3.9,822,699,56,1
424,22,132,178,8.5,822,750,28,1
424,22,132,178,8.5,882,750,3,0
424,22,132,168,8.9,822,750,28,1
424,22,132,178,8.5,822,750,7,0
424,22,132,178,8.5,822,750,56,1
