Client,Position,Skillset,InterviewType,Gender,StartPermission,Unscheduled,FollowUp,AlternativeContact,Resume,Venue,Letter,ExpectAttend,Attendence,MaritalStat
Standard Chartered Bank,Routine,Java ,Scheduled ,Male,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Married
Standard Chartered Bank,Routine,Java,Scheduled ,Male,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Married
Standard Chartered Bank,Routine,"Java,spring,hibernate",Scheduled ,Male,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Married
Standard Chartered Bank,AML,Routine,Scheduled ,Male,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Married
Standard Chartered Bank,Trade Finance,Routine,Scheduled ,Male,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Married
Standard Chartered Bank,Routine,Oracle,Scheduled ,Male,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Married
Standard Chartered Bank,Routine,Oracle,Scheduled ,Female,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Married
Standard Chartered Bank,Routine,Oracle,Scheduled ,Female,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Married
Standard Chartered Bank,Routine,Oracle,Scheduled ,Female,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Married
Standard Chartered Bank,Routine,Oracle,Scheduled ,Female,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Married
Standard Chartered Bank,Routine,Accounting Operations,Scheduled ,Female,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Married
Standard Chartered Bank,Routine,Accounting Operations,Scheduled ,Male,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Married
Standard Chartered Bank,Routine,Accounting Operations,Scheduled ,Male,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Married
Standard Chartered Bank,Routine,AML/KYC/CDD,Scheduled ,Male,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Married
Standard Chartered Bank,Routine,Fresher,Walkin,Female,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Married
Standard Chartered Bank,Routine,Fresher,Walkin,Female,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Married
Standard Chartered Bank,Routine,Fresher,Walkin,Male,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Married
Standard Chartered Bank,Routine,Fresher,Walkin,Male,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Married
Standard Chartered Bank,Routine,Fresher,Walkin,Male,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Married
Standard Chartered Bank,Routine,Oracle Plsql,Walkin,Male,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Married
Standard Chartered Bank,Routine,Lending and Liabilities,Walkin,Female,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Married
Standard Chartered Bank,Routine,Lending and Liabilities,Walkin,Female,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Married
Hospira,Routine,Java J2EE,Walkin,Female,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Married
Hospira,Routine,Java J2EE,Walkin,Male,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Married
Hospira,Routine,Java J2EE,Walkin,Male,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Married
Hospira,Routine,Java J2EE,Walkin,Male,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Married
Hospira,Routine,Java J2EE,Walkin,Male,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Married
Hospira,Routine,Java J2EE,Walkin,Male,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Married
Hospira,Routine,Java J2EE,Walkin,Male,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Married
Hospira,Routine,Java J2EE,Walkin,Female,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Married
Hospira,Routine,Java J2EE,Walkin,Male,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Married
Hospira,Routine,Java J2EE,Walkin,Female,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Married
Standard Chartered Bank,Routine,JAVA/SPRING/HIBERNATE/JSF,Walkin,Male,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Married
Standard Chartered Bank,Routine,JAVA/SPRING/HIBERNATE/JSF,Walkin,Female,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Married
Standard Chartered Bank,Routine,JAVA/SPRING/HIBERNATE/JSF,Walkin,Female,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Married
Standard Chartered Bank,Routine,JAVA/SPRING/HIBERNATE/JSF,Walkin,Female,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Married
Standard Chartered Bank,Routine,"Java,J2ee, JSF",Walkin,Male,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Married
Standard Chartered Bank,Routine,BaseSAS Program/ Reporting,Scheduled ,Male,Not yet,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Married
Standard Chartered Bank,Trade Finance,Routine,Scheduled ,Female,Yes,Yes,Yes,Yes,Yes,No,Not Sure,No,Yes,Married
Hospira,Routine,Regulatory,Scheduled ,Male,Yes,Yes,No,Yes,Yes,Yes,No,Uncertain,Yes,Married
Flextronics,Routine,Java Developer,Scheduled ,Male,Yes,Yes,No,No,Yes,Yes,Yes,Uncertain,Yes,Married
Flextronics,Routine,Java Developer,Scheduled ,Male,Yes,Yes,Yes,No,Yes,Yes,Yes,Uncertain,Yes,Married
Standard Chartered Bank,Routine,AML/KYC/CDD,Scheduled ,Male,Yes,Yes,Yes,No,Yes,Yes,Yes,Uncertain,Yes,Married
Hospira,Niche,Biosimiliars,Scheduled ,Male,Yes,Yes,No,Yes,Yes,Yes,Yes,Uncertain,Yes,Married
ANZ,Niche,Banking Operations,Scheduled ,Female,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Married
ANZ,Niche,Banking Operations,Scheduled ,Female,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Married
Hospira,Niche,Biosimiliars,Scheduled ,Male,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Married
Hospira,Niche,RA Label,Scheduled ,Male,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Married
Hospira,Niche,RA Publishing,Scheduled ,Male,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Married
Hospira,Niche,RA Publishing,Scheduled ,Male,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Married
Hospira,Niche,EMEA,Scheduled ,Male,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Married
Hospira,Niche,EMEA,Scheduled ,Male,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Married
Hospira,Routine,Regulatory,Scheduled ,Male,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Married
Hospira,Routine,Regulatory,Scheduled ,Male,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Married
Hospira,Routine,Regulatory,Scheduled ,Male,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Married
Hospira,Routine,Analytical R & D,Scheduled ,Male,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Married
Hospira,Routine,Analytical R & D,Scheduled ,Male,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Married
Pfizer,Niche,Senior software engineer-Mednet,Scheduled ,Male,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Married
Pfizer,Niche,Senior software engineer-Mednet,Scheduled ,Male,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Married
Pfizer,Niche,Tech lead-Mednet,Scheduled ,Male,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Married
Pfizer,Niche,Senior software engineer-Mednet,Scheduled ,Male,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Married
Pfizer,Niche,Senior software engineer-Mednet,Scheduled ,Male,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Married
Pfizer,Niche,Senior software engineer-Mednet,Scheduled ,Male,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Married
Pfizer,Niche,Senior software engineer-Mednet,Scheduled ,Male,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Married
Pfizer,Niche,Tech lead-Mednet,Scheduled ,Male,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Married
Pfizer,Niche,Tech Lead- Mednet,Scheduled ,Male,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Married
Standard Chartered Bank,Routine,Sr Automation Testing,Scheduled ,Male,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Married
Standard Chartered Bank,Routine,Sr Automation Testing,Scheduled ,Female,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Married
Standard Chartered Bank,Routine,Senior Analyst,Scheduled ,Female,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Married
Pfizer,Routine,production,Scheduled ,Male,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Married
Pfizer,Routine,production,Scheduled ,Male,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Married
Pfizer,Routine,production,Scheduled ,Male,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Married
Pfizer,Routine,production,Scheduled ,Male,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Married
Aon Hewitt,Routine,"Java,SQL",Scheduled ,Male,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Married
Astrazeneca,Niche,ALS Testing,Scheduled ,Female,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Married
Astrazeneca,Niche,ALS Testing,Scheduled ,Female,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Married
Astrazeneca,Niche,ALS Testing,Scheduled ,Male,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Married
Astrazeneca,Niche,ALS Testing,Scheduled ,Male,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Married
Astrazeneca,Niche,ALS Testing,Scheduled ,Male,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Married
Flextronics,Routine,Java Developer,Scheduled ,Male,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Married
Flextronics,Routine,Java Developer,Scheduled ,Female,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Married
Flextronics,Routine,Java Developer,Scheduled ,Female,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Married
Flextronics,Routine,Java Developer,Scheduled ,Female,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Married
Flextronics,Routine,Java Developer,Scheduled ,Male,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Married
Standard Chartered Bank,Routine,Lending & Liability,Scheduled ,Female,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Married
Standard Chartered Bank,Routine,L & L,Scheduled ,Female,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Married
Standard Chartered Bank,Routine,Lending&Liablities,Scheduled ,Male,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Married
Standard Chartered Bank,Routine,Java/J2ee/Core Java,Scheduled ,Male,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Married
Standard Chartered Bank,Routine,Java/J2ee/Core Java,Scheduled ,Male,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Married
Standard Chartered Bank,Routine,Java J2EE,Scheduled ,Male,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Married
Standard Chartered Bank,Routine,Java/J2ee,Scheduled ,Male,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Married
Standard Chartered Bank,Niche,T-24 developer,Scheduled ,Male,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Married
Standard Chartered Bank,Niche,T-24 developer,Scheduled ,Male,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Married
Standard Chartered Bank,Niche,T-24 developer,Scheduled ,Female,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Married
Standard Chartered Bank,Niche,T-24 developer,Scheduled ,Female,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Married
Standard Chartered Bank,Niche,T-24 developer,Scheduled ,Male,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Married
Prodapt,Routine,COTS Developer,Scheduled ,Male,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Married
Prodapt,Routine,COTS Developer,Scheduled ,Male,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Married
Williams Lea,Routine,Java,Scheduled ,Female,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Married
Barclays,Niche,Product Control,Scheduled ,Female,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Married
Barclays,Niche,Product Control,Scheduled ,Female,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Married
Barclays,Niche,Product Control,Scheduled ,Female,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Married
Barclays,Niche,Product Control,Scheduled ,Male,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Married
Prodapt,Routine,COTS,Scheduled ,Male,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Married
Prodapt,Routine,COTS,Scheduled ,Male,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Married
Prodapt,Routine,COTS,Scheduled ,Male,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Married
Prodapt,Routine,COTS,Scheduled ,Male,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Married
Hewitt,Routine,testing,Scheduled ,Male,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Married
Flextronics,Niche,#NAME?,Scheduled ,Female,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Married
Flextronics,Niche,#NAME?,Scheduled ,Male,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Married
Williams Lea,Routine,ETL,Scheduled ,Male,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Married
Standard Chartered Bank,Niche,Java-SAS,Scheduled ,Female,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Married
Standard Chartered Bank,Routine,Java Tech Lead,Scheduled ,Male,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Married
Woori Bank,Routine,Manager,Scheduled ,Male,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Married
Standard Chartered Bank,Routine,SCCM,Scheduled ,Male,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Married
Standard Chartered Bank,Routine,SCCM,Scheduled ,Female,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Married
Standard Chartered Bank,Routine,SCCm- Desktop support,Scheduled ,Female,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Married
Standard Chartered Bank,Routine,SCCm- Desktop support,Scheduled ,Female,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Married
Standard Chartered Bank,Routine,SCCm- Desktop support,Scheduled ,Female,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Married
Standard Chartered Bank,Routine,SCCm- Desktop support,Scheduled ,Female,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Married
Standard Chartered Bank,Routine,SAS,Scheduled ,Male,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Married
Standard Chartered Bank,Routine,SAS,Scheduled ,Male,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Married
Pfizer,Niche,Biosimiliars,Scheduled ,Male,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Married
Pfizer,Niche,RA Publishing,Scheduled ,Male,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Married
Pfizer,Niche,RA Publishing,Scheduled ,Male,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Married
Pfizer,Niche,EMEA,Scheduled ,Male,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Married
Pfizer,Niche,EMEA,Scheduled ,Male,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Married
Pfizer,Niche,Biosimiliars,Scheduled ,Male,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Married
Pfizer,Niche,Licensing – RA,Scheduled ,Male,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Married
Pfizer,Niche,Licensing – RA,Scheduled ,Male,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Married
Pfizer,Niche,generic drugs – RA,Scheduled ,Male,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Married
Pfizer,Niche,Biosimiliars,Scheduled ,Male,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Married
Standard Chartered Bank,Routine,AML/KYC/CDD,Scheduled ,Male,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Married
Standard Chartered Bank,Routine,AML/KYC/CDD,Scheduled ,Female,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Married
Standard Chartered Bank,Routine,AML/KYC/CDD,Scheduled ,Male,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Married
Standard Chartered Bank,Routine,AML/KYC/CDD,Scheduled ,Female,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Married
